Case Number,Classification,Date/Time Occurred,Date/Time Reported,Location,Disposition
CRM-2025-343,Liquor Law Violations,04/12/2025 01:43,04/12/2025 01:43,600 BLK N DUBUQUE ST,Inactive
CRM-2025-342,Driving Under the Influence,04/12/2025 01:37,04/12/2025 01:37,800 BLK N DUBUQUE ST,Closed - Suspect Arrested
CRM-2025-340,"Stalking, Violation of No Contact Order",04/11/2025 14:16,04/11/2025 14:16,General Hospital,Inactive
CRM-2025-339,Simple Assault,Between 04/11/2025 12:58 and 04/11/2025 13:00,04/11/2025 13:39,General Hospital,Inactive
CRM-2025-336,Public Intoxication,04/11/2025 03:45,04/11/2025 03:45,North Campus Parking Ramp,Closed - Suspect Arrested
CRM-2025-337,Liquor Law Violations,04/11/2025 03:08,04/11/2025 03:08,Rienow Hall,Closed - Referred to Office of Student Accountability
CRM-2025-341,Theft,Between 04/10/2025 15:00 and 04/10/2025 21:30,04/11/2025 16:50,Burge Hall,Inactive
CRM-2025-338,Indecent Exposure,04/10/2025 13:28,04/10/2025 13:28,Main Library,Inactive
CRM-2025-334,Fondling,Between 04/10/2025 01:00 and 04/10/2025 01:05,04/10/2025 20:44,General Hospital,Inactive
CSA-2025-203,Harassment,Between 04/10/2025 00:00 and 04/10/2025 23:59,04/11/2025 08:00,Grinnell Dialysis Unit,Closed - Referred to Title IX Coordinator
CRM-2025-331,"Harassment, Simple Assault",04/09/2025 18:43,04/09/2025 18:43,General Hospital,Inactive
CRM-2025-358,Trespass,04/09/2025 16:51,04/09/2025 16:51,UI Health Care Medical Center Downtown,Closed - Suspect Issued Criminal Trespass Warning
CRM-2025-333,Theft,04/09/2025 16:50,04/09/2025 19:12,"Biology Building East, bike rack",Inactive
CRM-2025-330,Simple Assault,04/09/2025 13:35,04/09/2025 13:35,General Hospital,Inactive
CRM-2025-328,Theft,04/09/2025 10:00,04/09/2025 10:00,General Hospital,Inactive
CRM-2025-332,Harassment,04/08/2025 16:45,04/08/2025 16:45,Iowa Memorial Union,Active - UI Police
CRM-2025-326,Theft,Between 04/07/2025 20:30 and 04/07/2025 23:34,04/08/2025 12:16,Pappajohn Business Building,Inactive
CRM-2025-325,Trespass x5,04/07/2025 17:23,04/07/2025 17:23,Art Building,Closed - Suspect Issued Criminal Trespass Warning
CSA-2025-200,Stalking,04/07/2025 16:10,04/07/2025 16:10,West Side Residence Hall,Closed - Referred to Title IX Coordinator
CRM-2025-324,Simple Assault,04/07/2025 10:34,04/07/2025 10:34,General Hospital,Inactive
CRM-2025-323,Simple Assault x3,04/06/2025 22:31,04/06/2025 22:31,General Hospital,Inactive
CRM-2025-322,"Criminal Mischief, False Reports",Between 04/06/2025 19:30 and 04/06/2025 19:35,04/06/2025 19:58,General Hospital,Inactive
CSA-2025-206,Criminal Mischief,04/06/2025 14:30,04/06/2025 14:30,Burge Hall,Closed - Referred to Office of Student Accountability
CRM-2025-321,Liquor Law Violations,04/06/2025 02:01,04/06/2025 02:01,200 BLK S DUBUQUE ST,Closed - Referred to Office of Student Accountability
CRM-2025-320,Liquor Law Violations,04/06/2025 01:28,04/06/2025 01:28,Burge Hall,Closed - Referred to Office of Student Accountability
CRM-2025-319,Simple Assault,Between 04/05/2025 21:00 and 04/05/2025 21:05,04/05/2025 21:26,General Hospital,Inactive
CRM-2025-318,Simple Assault,Between 04/05/2025 13:30 and 04/05/2025 15:35,04/05/2025 13:51,General Hospital,Inactive
CRM-2025-312,Criminal Mischief,04/05/2025 05:30,04/05/2025 05:48,General Hospital,Inactive
CRM-2025-317,Criminal Mischief,04/05/2025 02:35,04/05/2025 02:35,"Art Building, exterior",Closed - Referred to Office of Student Accountability
CRM-2025-315,Drug/Narcotic Violation,04/05/2025 01:14,04/05/2025 01:14,100 BLK W BURLINGTON ST,Inactive
CRM-2025-314,Liquor Law Violations,04/05/2025 00:33,04/05/2025 00:33,100 BLK N CLINTON ST,Closed - Referred to Office of Student Accountability
CRM-2025-313,Liquor Law Violations,04/05/2025 00:14,04/05/2025 00:14,Pentacrest,Closed - Referred to Office of Student Accountability
CRM-2025-310,Simple Assault,04/04/2025 20:33,04/04/2025 20:33,General Hospital,Inactive
CRM-2025-309,Simple Assault,04/04/2025 20:10,04/04/2025 20:27,General Hospital,Inactive
CRM-2025-308,Simple Assault,04/04/2025 20:05,04/04/2025 20:05,General Hospital,Inactive
CRM-2025-307,Simple Assault,04/04/2025 14:50,04/04/2025 14:56,General Hospital,Inactive
CRM-2025-306,Simple Assault,04/04/2025 14:00,04/04/2025 14:02,General Hospital,Inactive
CRM-2025-311,Simple Assault,04/04/2025 13:45,04/04/2025 20:35,General Hospital,Inactive
CRM-2025-305,Simple Assault,04/04/2025 09:05,04/04/2025 09:14,General Hospital,Inactive
CRM-2025-302,Drug/Narcotic Violation,04/04/2025 03:50,04/04/2025 03:50,UI Health Care Medical Center Downtown,Inactive
CRM-2025-301,Liquor Law Violations,04/03/2025 23:13,04/03/2025 23:13,Slater Hall,Closed - Referred to Office of Student Accountability
CRM-2025-335,Motor Vehicle Theft,Between 04/03/2025 15:30 and 04/10/2025 21:24,04/10/2025 21:24,"Anne Cleary Walkway, bike rack",Inactive
CRM-2025-304,"Harassment, Stalking",04/03/2025 15:19,04/03/2025 15:19,UI Health Care Medical Center Downtown,Inactive
CRM-2025-300,Simple Assault,04/03/2025 14:36,04/03/2025 14:36,General Hospital,Inactive
CRM-2025-299,Theft,04/03/2025 07:30,04/03/2025 11:49,"800 BLK W NEWTON RD, Cambus",Inactive
CRM-2025-297,Public Intoxication,04/03/2025 02:03,04/03/2025 02:03,"Catlett Residence Hall, ent",Inactive
CRM-2025-298,Public Intoxication,04/03/2025 01:09,04/03/2025 01:09,100 BLK E COURT ST,Inactive
CSA-2025-204,Harassment,Between 04/03/2025 00:00 and 04/03/2025 23:59,04/04/2025 08:00,General Hospital,Referred to University - Other
CRM-2025-296,Simple Assault,Between 04/02/2025 17:24 and 04/02/2025 17:35,04/02/2025 17:49,General Hospital,Inactive
CRM-2025-294,Simple Assault,04/02/2025 07:18,04/02/2025 07:18,UI Health Care Medical Center Downtown,Inactive
CSA-2025-199,Harassment,04/01/2025 18:59,04/01/2025 18:59,Petersen Residence Hall,Closed - Referred to Office of Student Accountability
CRM-2025-291,Theft,Between 04/01/2025 11:13 and 04/01/2025 12:14,04/01/2025 12:33,Campus Recreation and Wellness Center,Inactive
CRM-2025-292,Criminal Mischief,Between 04/01/2025 08:00 and 04/01/2025 14:32,04/01/2025 14:59,Hubbard Park,Closed - Suspect Arrested
