Case Number,Classification,Date/Time Occurred,Date/Time Reported,Location,Disposition
CRM-2025-241,"Domestic Violence, Simple Assault",Between 03/14/2025 08:00 and 03/14/2025 09:00,03/14/2025 09:31,General Hospital,Closed - Suspect Arrested
CRM-2025-237,"Disorderly - Public Urination , Public Intoxication",03/14/2025 01:52,03/14/2025 01:52,10 BLK S CLINTON ST,Closed - Suspect Arrested
CRM-2025-239,"Simple Assault, Harassment",03/13/2025 13:21,03/13/2025 13:21,General Hospital,Inactive
CRM-2025-236,Public Intoxication,03/13/2025 03:24,03/13/2025 03:24,Hubbard Park,Closed - Suspect Arrested
CRM-2025-235,Habitual Offender,03/13/2025 02:02,03/12/2025 02:02,100 BLK W PARK RD,Closed - Suspect Arrested
CSA-2025-180,Harassment,03/12/2025 08:00,03/12/2025 08:00,General Hospital,Referred to University - Other
CRM-2025-243,Theft,Between 03/12/2025 06:58 and 03/12/2025 17:17,03/14/2025 13:15,General Hospital,Active - UI Police
CRM-2025-240,Criminal Mischief,Between 03/12/2025 00:00 and 03/13/2025 10:54,03/13/2025 10:54,Main Library,Inactive
CRM-2025-267,Theft,Between 03/12/2025 00:00 and 03/25/2025 20:00,03/25/2025 20:10,"158 Hawkeye Ct, parking lot",Inactive
CRM-2025-233,Theft,03/11/2025 21:52,03/11/2025 21:52,Hawkeye Recreation Fields,Inactive
CRM-2025-234,Intimidation,Between 03/11/2025 08:22 and 03/11/2025 10:00,03/11/2025 08:22,10 BLK N CLINTON ST,Active - UI Police
CRM-2025-238,Criminal Mischief,03/10/2025 22:31,03/13/2025 22:49,Stanley Hall,Active - UI Police
CRM-2025-230,Trespass,03/10/2025 14:16,03/10/2025 14:16,Afro-American Cultural Center,Closed - Suspect Issued Criminal Trespass Warning
CRM-2025-232,Trespass,03/10/2025 13:30,03/11/2025 10:16,Schaeffer Hall,Closed - Suspect Arrested
CRM-2025-216,Harassment x2,Between 03/09/2025 18:35 and 03/09/2025 18:50,03/09/2025 19:09,"158 Hawkeye Ct, Cambus",Closed - Suspect Arrested
CRM-2025-217,"Interference with Official Acts, Public Intoxication, Dating Violence, Simple Assault",03/09/2025 08:36,03/09/2025 08:36,Mayflower Hall,Closed - Suspect Arrested
CRM-2025-218,Aggravated Assault,03/09/2025 07:26,03/09/2025 07:26,200 BLK N DUBUQUE ST,Referred to University - Other
CSA-2025-171,Disorderly - Public Urination,03/09/2025 06:45,03/09/2025 08:09,Burge Hall,Closed - Referred to Office of Student Accountability
CRM-2025-214,"Falsify Driver's License, Public Intoxication",03/09/2025 00:28,03/09/2025 00:28,Anne Cleary Walkway,Closed - Suspect Arrested
CRM-2025-219,Criminal Mischief,03/08/2025 20:53,03/08/2025 20:53,IMUR Ramp,Inactive
CRM-2025-220,Simple Assault,03/08/2025 19:46,03/08/2025 19:46,General Hospital,Inactive
CRM-2025-221,Simple Assault,03/08/2025 14:03,03/08/2025 14:03,General Hospital,Inactive
CRM-2025-215,Liquor Law Violations,03/08/2025 11:51,03/08/2025 11:51,"Performing Arts Annex, parking lot",Closed - Referred to Office of Student Accountability
CRM-2025-222,Aggravated Assault,03/08/2025 10:05,03/08/2025 10:51,General Hospital,Inactive
CRM-2025-223,Aggravated Assault,03/08/2025 09:13,03/08/2025 09:13,General Hospital,Closed - Suspect Arrested
CRM-2025-224,Simple Assault x2,03/08/2025 01:47,03/08/2025 01:47,Burge Hall,Inactive
CRM-2025-225,Simple Assault,03/07/2025 19:59,03/07/2025 22:30,General Hospital,Active - UI Police
CSA-2025-170,Simple Assault,Between 03/07/2025 15:30 and 03/07/2025 16:11,03/07/2025 16:11,Wendell Johnson Speech and Hearing Center,Referred to University - Other
CRM-2025-226,Criminal Mischief,03/07/2025 11:40,03/07/2025 11:59,Hospital Parking Ramp 2,Inactive
CRM-2025-227,Simple Assault,Between 03/07/2025 10:00 and 03/07/2025 10:10,03/07/2025 10:13,General Hospital,Closed - Suspect Arrested
CSA-2025-183,Harassment,03/07/2025 08:00,03/07/2025 08:00,General Hospital,Referred to University - Other
CRM-2025-213,Harassment,03/06/2025 21:22,03/06/2025 21:22,Phillips Hall,Inactive
CRM-2025-212,Simple Assault,03/06/2025 16:18,03/06/2025 16:18,General Hospital,Inactive
CRM-2025-228,Drug/Narcotic Violation,03/06/2025 02:32,03/06/2025 02:32,200 BLK W BURLINGTON ST,Inactive
CSA-2025-173,Simple Assault,03/05/2025 11:00,03/06/2025 16:06,General Hospital,Referred to University - Other
CSA-2025-168,Theft,Between 03/05/2025 09:00 and 03/05/2025 11:00,03/05/2025 11:30,Lot 33 - Dental Patients & Visitors,Referred to University - Other
CRM-2025-208,Trespass,03/05/2025 00:59,03/05/2025 00:59,UI Health Care Medical Center Downtown,Closed - Suspect Arrested
CRM-2025-229,Theft,Between 03/04/2025 20:00 and 03/05/2025 07:30,03/10/2025 10:22,Mayflower Hall,Unfounded
CRM-2025-205,Aggravated Assault,Between 03/04/2025 13:00 and 03/04/2025 13:05,03/04/2025 13:12,General Hospital,Inactive
CRM-2025-210,Criminal Mischief,Between 03/04/2025 12:20 and 03/05/2025 12:20,03/05/2025 12:20,Main Library,Inactive
CSA-2025-175,Simple Assault,03/04/2025 08:00,03/04/2025 08:00,Laundry,Referred to University - Other
CRM-2025-209,Simple Assault,Between 03/04/2025 04:00 and 03/04/2025 05:30,03/05/2025 10:51,General Hospital,Active - UI Police
CRM-2025-203,Theft,Between 03/04/2025 02:00 and 03/04/2025 04:00,03/04/2025 07:49,General Hospital,Inactive
CRM-2025-202,Simple Assault x3,Between 03/03/2025 21:10 and 03/03/2025 21:40,03/03/2025 22:09,General Hospital,Inactive
CRM-2025-207,"Harassment, Stalking",Between 03/03/2025 19:38 and 03/04/2025 16:41,03/04/2025 17:27,Mayflower Hall,Active - UI Police
CRM-2025-211,Extortion/Blackmail,Between 03/03/2025 16:31 and 03/04/2025 18:31,03/05/2025 15:35,Dental Science Building,Inactive
CRM-2025-204,Theft,Between 03/03/2025 07:45 and 03/03/2025 17:00,03/04/2025 08:14,"Hospital Parking Ramp 1, bike rack",Active - UI Police
CRM-2025-200,"Drug Equipment Violation, Drug/Narcotic Violation",03/03/2025 05:20,03/03/2025 05:20,"Biology Building East, exterior",Closed - Suspect Arrested
CRM-2025-196,"Criminal Mischief, Simple Assault",03/02/2025 09:19,03/02/2025 09:19,General Hospital,Closed - Suspect Arrested
CRM-2025-195,"Interference with Official Acts, Public Intoxication",03/01/2025 23:51,03/01/2025 23:51,200 BLK E WASHINGTON ST,Closed - Suspect Arrested
CRM-2025-194,Simple Assault,Between 03/01/2025 11:10 and 03/01/2025 11:15,03/01/2025 14:22,"Field House, exterior",Inactive
CRM-2025-193,"Extortion/Blackmail, Stalking",Between 03/01/2025 10:00 and 03/01/2025 11:50,03/01/2025 11:00,Stanley Hall,Inactive
CRM-2025-198,Driving Under the Influence,03/01/2025 02:15,03/01/2025 02:15,1100 BLK N DUBUQUE ST,Closed - Suspect Arrested
CRM-2025-199,Liquor Law Violations,03/01/2025 01:33,03/01/2025 01:33,Daum Hall,Closed - Referred to Office of Student Accountability
CRM-2025-191,Simple Assault,02/28/2025 22:30,02/28/2025 22:30,General Hospital,Inactive
CRM-2025-190,Harassment,02/28/2025 18:25,02/28/2025 19:13,Hillcrest Hall,Inactive
CRM-2025-189,"Aggravated Assault x3, Simple Assault",02/28/2025 17:42,02/28/2025 17:45,General Hospital,Active - UI Police
CRM-2025-197,Burglary,Between 02/28/2025 11:05 and 02/28/2025 12:30,02/28/2025 13:10,Hillcrest Hall,Inactive
CSA-2025-187,Stalking,Between 02/28/2025 08:00 and 04/29/2024 23:59,02/28/2025 08:00,Lindquist Center,Inactive
CRM-2025-187,Criminal Mischief,02/28/2025 02:25,02/28/2025 02:28,Slater Hall,Inactive
CRM-2025-186,"Falsify Driver's License, Liquor Law Violations x2",Between 02/28/2025 01:56 and 02/28/2025 02:06,02/28/2025 01:56,Byington/Grand,Closed - Referred to Office of Student Accountability
CRM-2025-185,"Harassment, Public Intoxication, Simple Assault, Stalking",02/28/2025 00:42,02/28/2025 00:42,Burge Hall,Closed - Suspect Arrested
CRM-2025-188,"Drug Equipment Violation, Drug/Narcotic Violation",02/27/2025 20:19,02/27/2025 20:19,Byington/Grand,Inactive
CSA-2025-166,Liquor Law Violations x2,02/27/2025 13:15,02/27/2025 17:00,Catlett Residence Hall,Closed - Referred to Office of Student Accountability
CRM-2025-183,Disorderly Conduct,02/27/2025 11:40,02/27/2025 11:40,General Hospital,Closed - Suspect Issued Criminal Trespass Warning
CRM-2025-182,Criminal Mischief,Between 02/27/2025 07:50 and 02/28/2025 08:00,02/27/2025 08:06,General Hospital,Inactive
CSA-2025-165,Stalking,02/25/2025 22:44,02/26/2025 11:32,Bowen Science Building,Closed - Referred to Title IX Coordinator
CRM-2025-178,"Harassment, Stalking",02/25/2025 22:20,02/25/2025 22:33,Main Library,Inactive
CSA-2025-162,Stalking,02/25/2025 19:30,02/25/2025 19:57,Burge Hall,Closed - Referred to Title IX Coordinator
CRM-2025-180,Theft,02/25/2025 15:34,02/25/2025 15:34,General Hospital,Inactive
CSA-2025-178,Stalking,02/25/2025 08:00,02/25/2025 08:00,College of Public Health Building,Referred to University - Other
CSA-2025-179,Stalking x2,02/25/2025 08:00,02/25/2025 08:00,Bowen Science Building,Referred to University - Other
CRM-2025-174,"Intimidation, Simple Assault",02/24/2025 23:06,02/24/2025 23:06,General Hospital,Closed - Suspect Arrested
CSA-2025-160,Drug/Narcotic Violation,02/24/2025 22:00,02/24/2025 22:35,Stanley Hall,Closed - Referred to Office of Student Accountability
CSA-2025-169,Stalking,Between 02/24/2025 17:00 and 03/04/2025 23:59,03/05/2025 09:38,Afro-American Cultural Center,Closed - Referred to Title IX Coordinator
CRM-2025-179,Fraudulent Offense,02/24/2025 08:41,02/25/2025 11:53,General Hospital,Inactive
CSA-2025-172,Theft,Between 02/24/2025 06:30 and 02/25/2025 07:30,03/07/2025 10:48,General Hospital,Referred to University - Other
CRM-2025-177,Theft,02/23/2025 15:30,02/25/2025 11:53,General Hospital,Closed - Suspect Arrested
CRM-2025-167,Harassment,02/23/2025 04:45,02/23/2025 05:23,General Hospital,Closed - Suspect Arrested
CRM-2025-170,Driving Under the Influence,02/23/2025 02:01,02/23/2025 02:01,100 BLK N DUBUQUE ST,Closed - Suspect Arrested
CRM-2025-166,Driving Under the Influence,02/23/2025 01:52,02/23/2025 01:52,200 BLK E WASHINGTON ST,Closed - Suspect Arrested
CRM-2025-169,Public Intoxication,02/23/2025 01:44,02/23/2025 01:44,10 BLK S CLINTON ST,Closed - Referred to Office of Student Accountability
CRM-2025-165,Public Intoxication,02/23/2025 00:45,02/23/2025 00:45,325 Grand Avenue,Closed - Suspect Arrested
CRM-2025-168,Driving While License Revoked,02/22/2025 23:10,02/22/2025 23:10,300 BLK E WASHINGTON ST,Closed - Suspect Arrested
CSA-2025-159,Liquor Law Violations x6,02/22/2025 21:05,02/22/2025 22:00,Stanley Hall,Closed - Referred to Office of Student Accountability
CRM-2025-164,Simple Assault x2,02/22/2025 19:15,02/22/2025 20:55,General Hospital,Active - UI Police
CRM-2025-172,Simple Assault,Between 02/22/2025 19:00 and 02/23/2025 06:00,02/24/2025 10:41,General Hospital,Unfounded
CRM-2025-163,Simple Assault x2,Between 02/22/2025 17:00 and 02/22/2025 17:20,02/22/2025 20:20,General Hospital,Active - UI Police
CRM-2025-162,Criminal Mischief,Between 02/22/2025 00:00 and 02/22/2025 09:00,02/22/2025 09:32,Currier Hall,Inactive
CRM-2025-176,Harassment,02/21/2025 15:24,02/21/2025 16:15,Biology Building,Inactive
CRM-2025-175,Theft,Between 02/21/2025 15:00 and 02/24/2025 09:00,02/24/2025 14:42,"IMUR Ramp, bike rack",Inactive
CRM-2025-160,Liquor Law Violations,02/21/2025 02:00,02/21/2025 02:00,Stanley Hall,Closed - Referred to Office of Student Accountability
CRM-2025-161,False Reports,02/21/2025 01:49,02/21/2025 01:49,Mayflower Hall,Inactive
CRM-2025-159,Criminal Mischief,02/21/2025 01:43,02/21/2025 01:43,Stanley Hall,Inactive
CRM-2025-158,Liquor Law Violations,02/20/2025 22:49,02/20/2025 22:49,Currier Hall,Inactive
CRM-2025-157,Criminal Mischief,02/20/2025 20:33,02/20/2025 20:33,Lot 85 - Hawkeye Commuter Lot,Active - UI Police
CRM-2025-156,Harassment,02/20/2025 19:09,02/20/2025 19:09,General Hospital,Inactive
CRM-2025-154,Aggravated Assault,02/20/2025 12:16,02/20/2025 12:16,General Hospital,Inactive
CRM-2025-155,Criminal Mischief,Between 02/20/2025 12:00 and 02/20/2025 16:17,02/20/2025 16:17,Main Library,Inactive
CSA-2025-164,Stalking,02/20/2025 05:30,02/20/2025 06:21,Rienow Hall,Closed - Referred to Title IX Coordinator
CSA-2025-158,Harassment,02/19/2025 16:47,02/20/2025 16:30,General Hospital,Referred to University - Other
CRM-2025-152,Liquor Law Violations,02/19/2025 04:27,02/19/2025 04:27,Hillcrest Hall,Closed - Referred to Office of Student Accountability
CRM-2025-151,Theft,Between 02/18/2025 16:40 and 02/18/2025 16:45,02/18/2025 18:06,Main Library,Inactive
CSA-2025-157,Stolen Property Offense,02/18/2025 15:45,02/18/2025 18:25,Currier Hall,Closed - Referred to Office of Student Accountability
CRM-2025-150,Simple Assault,Between 02/18/2025 15:35 and 02/18/2025 15:45,02/18/2025 15:49,General Hospital,Inactive
CRM-2025-149,"Harassment, Stalking",02/18/2025 15:14,02/18/2025 15:14,General Hospital,Inactive
CRM-2025-153,Falsify Driver's License,02/18/2025 08:30,02/18/2025 08:30,Catlett Residence Hall,Inactive
CRM-2025-184,Fraudulent Offense,02/18/2025 08:30,02/18/2025 08:30,Catlett Residence Hall,Inactive
CRM-2025-148,Criminal Mischief,02/18/2025 08:02,02/18/2025 08:02,Field House,Inactive
CRM-2025-147,"Aggravated Assault x2, Liquor Law Violations, Public Intoxication",02/17/2025 22:50,02/17/2025 22:50,General Hospital,Closed - Suspect Arrested
CRM-2025-146,Simple Assault,Between 02/17/2025 18:30 and 02/17/2025 18:40,02/17/2025 19:14,General Hospital,Inactive
CRM-2025-145,Criminal Mischief,Between 02/17/2025 13:20 and 02/17/2025 13:30,02/17/2025 13:38,General Hospital,Inactive
CRM-2025-142,Criminal Mischief,02/16/2025 14:33,02/16/2025 14:33,General Hospital,Inactive
CRM-2025-141,"Criminal Mischief , Theft",Between 02/16/2025 08:34 and 02/16/2025 11:20,02/16/2025 11:35,Pappajohn Business Building,Active - UI Police
CSA-2025-156,Burglary,02/16/2025 02:25,02/16/2025 02:45,Currier Hall,Closed - Referred to Office of Student Accountability
CRM-2025-143,"Driving Under the Influence, Drug Equipment Violation, Weapon Law Violation",02/16/2025 02:14,02/16/2025 02:14,300 Blk N Gilbert Street,Closed - Suspect Arrested
CSA-2025-155,Theft,02/16/2025 01:15,02/16/2025 02:00,Burge Hall,Closed - Referred to Office of Student Accountability
CRM-2025-140,Criminal Mischief,02/15/2025 22:02,02/15/2025 22:02,General Hospital,Inactive
CRM-2025-181,Theft,Between 02/15/2025 18:00 and 02/15/2025 23:00,02/18/2025 15:00,Currier Hall,Inactive
CRM-2025-139,Simple Assault,Between 02/15/2025 09:43 and 02/15/2025 10:00,02/15/2025 10:09,General Hospital,Inactive
CRM-2025-138,Driving Under the Influence,02/15/2025 02:16,02/15/2025 02:16,200 BLK S GILBERT ST,Closed - Suspect Arrested
CRM-2025-137,Harassment,02/15/2025 00:29,02/15/2025 00:29,General Hospital,Inactive
CRM-2025-136,"Driving While License Revoked , Liquor Law Violations",02/14/2025 19:56,02/14/2025 19:56,10 BLK N MADISON ST,Closed - Suspect Arrested
CRM-2025-135,Simple Assault,02/14/2025 19:18,02/14/2025 19:18,General Hospital,Inactive
CRM-2025-134,Simple Assault,02/14/2025 17:54,02/14/2025 17:54,General Hospital,Inactive
CSA-2025-163,Theft,Between 02/14/2025 09:00 and 02/14/2025 17:13,02/14/2025 17:13,General Hospital,Referred to University - Other
CRM-2025-132,Liquor Law Violations,02/14/2025 01:17,02/14/2025 01:17,Stanley Hall,Closed - Referred to Office of Student Accountability
CRM-2025-130,Simple Assault x2,02/13/2025 14:22,02/13/2025 14:22,General Hospital,Inactive
CRM-2025-171,Fondling,Between 02/13/2025 00:00 and 02/18/2025 23:59,02/20/2025 16:37,General Hospital,Unfounded
CSA-2025-150,Theft,Between 02/12/2025 22:50 and 02/13/2025 00:50,02/13/2025 04:32,400 BLK E BURLINGTON ST,Referred to University - Other
CRM-2025-128,Theft,02/12/2025 15:22,02/12/2025 15:40,University Capitol Centre,Closed - Suspect Arrested
CRM-2025-129,Criminal Mischief,02/12/2025 15:21,02/12/2025 15:29,General Hospital,Inactive
CRM-2025-127,Simple Assault x2,02/11/2025 20:11,02/11/2025 20:11,General Hospital,Inactive
CRM-2025-126,Simple Assault,02/11/2025 11:40,02/11/2025 11:40,General Hospital,Inactive
CRM-2025-123,Public Intoxication,02/10/2025 23:02,02/10/2025 23:02,Main Library,Inactive
CRM-2025-131,Theft,Between 02/10/2025 21:30 and 02/10/2025 21:45,02/13/2025 15:06,Campus Recreation and Wellness Center,Active - UI Police
CRM-2025-125,"Indecent Exposure, Public Intoxication",02/10/2025 19:50,02/10/2025 19:50,800 BLK W MELROSE AVE,Referred to University - Other
CRM-2025-122,Simple Assault,02/10/2025 14:30,02/10/2025 14:30,UI Health Care Medical Center Downtown,Inactive
CRM-2025-121,Criminal Mischief,02/10/2025 14:00,02/10/2025 14:00,UI Health Care Medical Center Downtown,Inactive
CSA-2025-144,Liquor Law Violations,02/09/2025 23:00,02/10/2025 02:40,Slater Hall,Closed - Referred to Office of Student Accountability
CRM-2025-119,Simple Assault,02/09/2025 19:00,02/09/2025 19:00,General Hospital,Inactive
CRM-2025-124,Fondling,02/09/2025 11:16,02/10/2025 08:35,Field House,Active - UI Police
CRM-2025-118,Theft,02/09/2025 03:19,02/09/2025 03:19,Currier Hall,Inactive
CRM-2025-120,Driving Under the Influence,02/09/2025 02:00,02/09/2025 02:00,Rocky Shore Dr/Hwy 6,Closed - Suspect Arrested
CRM-2025-117,Liquor Law Violations,02/09/2025 01:54,02/09/2025 01:54,Burge Hall,Closed - Referred to Office of Student Accountability
CSA-2025-143,Liquor Law Violations x3,02/08/2025 21:30,02/08/2025 22:35,Mayflower Hall,Closed - Referred to Office of Student Accountability
CSA-2025-148,Stalking,Between 02/08/2025 12:30 and 02/13/2025 16:00,02/12/2025 10:25,Medical Laboratories,Closed - Referred to Title IX Coordinator
CSA-2025-142,Liquor Law Violations,02/07/2025 23:15,02/08/2025 00:15,Slater Hall,Closed - Referred to Office of Student Accountability
CRM-2025-144,Drug Equipment Violation,02/07/2025 21:04,02/07/2025 21:04,Burge Hall,Inactive
CRM-2025-116,Theft,Between 02/07/2025 18:30 and 02/07/2025 20:30,02/08/2025 10:14,Carver-Hawkeye Arena,Inactive
CRM-2025-114,Liquor Law Violations,02/07/2025 03:14,02/07/2025 03:14,10 BLK S CLINTON ST,Inactive
CRM-2025-113,Theft,02/06/2025 19:00,02/06/2025 20:15,Pappajohn Business Building,Inactive
CRM-2025-112,Criminal Mischief,Between 02/06/2025 09:00 and 02/06/2025 09:23,02/06/2025 09:23,"Hawkeye Tennis and Recreation Complex, parking lot",Inactive
CRM-2025-109,"Harassment, Stalking",02/05/2025 17:31,02/05/2025 17:31,General Hospital,Active - UI Police
CSA-2025-139,Stalking,02/05/2025 12:50,02/06/2025 10:36,UIHC Integrated Services Center,Closed - Referred to Title IX Coordinator
CRM-2025-108,Criminal Mischief,02/05/2025 12:09,02/05/2025 12:09,Main Library,Inactive
CRM-2025-107,Simple Assault,02/05/2025 09:46,02/05/2025 09:46,General Hospital,Inactive
CRM-2025-115,Motor Vehicle Theft,Between 02/05/2025 09:00 and 02/07/2025 16:30,02/07/2025 16:40,"Biology Building East, moped parking lot",Unfounded
CSA-2025-149,Stalking,Between 02/05/2025 00:00 and 02/07/2025 23:59,02/10/2025 08:00,UI Health Care Medical Center North Liberty,Closed - Referred to Title IX Coordinator
CSA-2025-136,Liquor Law Violations,02/04/2025 23:00,02/05/2025 03:00,Mayflower Hall,Closed - Referred to Office of Student Accountability
CSA-2025-135,"Dating Violence, Fondling",Between 02/04/2025 20:00 and 02/04/2025 21:00,02/04/2025 23:54,East Side Residential Hall,Closed - Referred to Office of Student Accountability
CRM-2025-103,Theft,02/04/2025 17:46,02/04/2025 17:46,150 S Grand Ave,Inactive
CRM-2025-102,Simple Assault,02/04/2025 16:34,02/04/2025 16:34,General Hospital,Inactive
CRM-2025-99,Disorderly Conduct,02/04/2025 08:27,02/04/2025 08:27,UI Health Care Medical Center Downtown,Closed - Suspect Issued Criminal Trespass Warning
CRM-2025-96,Simple Assault,02/03/2025 22:22,02/03/2025 22:22,General Hospital,Inactive
